,property_id,listing_id,prop_type,latitude,longitude,address,price,price_max,price_min,link,description
4444,9124687635,2960541451,[{type:home,41.967537,-87.688568,4731 N Western Ave Unit 202,2395,null,null,https://www.realtor.com/realestateandhomes-detail/4731-N-Western-Ave-202_Chicago_IL_60625_M91246-87635,"{ beds :2, beds_max :null, beds_min :null, baths_min :null, baths_max :null, baths_consolidated : 1 , garage :null, garage_min :null, garage_max :null, sqft :1050, sqft_max :null, sqft_min :null, name :null, sub_type : condo , type : apartment , year_built :null"
4445,9289760689,2961633123,[{type:home,41.902653,-87.696144,2743 W Division St Apt 2R,1950,null,null,https://www.realtor.com/realestateandhomes-detail/2743-W-Division-St-Apt-2R_Chicago_IL_60622_M92897-60689,"{ beds :2, beds_max :null, beds_min :null, baths_min :null, baths_max :null, baths_consolidated : 1 , garage :null, garage_min :null, garage_max :null, sqft :700, sqft_max :null, sqft_min :null, name :null, sub_type : condo , type : apartment , year_built :null"
4446,9275196435,2915083561,[{type:home,41.976864,-87.790565,5238 N Neenah Ave Unit AF2381,1350,null,null,https://www.realtor.com/realestateandhomes-detail/5238-N-Neenah-Ave-5238-1D_Chicago_IL_60656_M92751-96435,"{ beds :2, beds_max :null, beds_min :null, baths_min :null, baths_max :null, baths_consolidated : 1 , garage :null, garage_min :null, garage_max :null, sqft :null, sqft_max :null, sqft_min :null, name :null, sub_type : condo , type : apartment , year_built :null"
4447,9064823407,2926832023,[{type:home,41.961933,-87.716164,4426 N St Louis Ave Unit AF4263,1400,null,null,https://www.realtor.com/realestateandhomes-detail/4426-N-St-Louis-Ave-AF426-3A_Chicago_IL_60625_M90648-23407,"{ beds :2, beds_max :null, beds_min :null, baths_min :null, baths_max :null, baths_consolidated : 1 , garage :null, garage_min :null, garage_max :null, sqft :1400, sqft_max :null, sqft_min :null, name :null, sub_type : condo , type : apartment , year_built :null"
4448,7663585991,2957552336,[{type:home,41.922867,-87.69773,2302 N Milwaukee Ave Unit 3,2600,null,null,https://www.realtor.com/realestateandhomes-detail/2302-N-Milwaukee-Ave-3_Chicago_IL_60647_M76635-85991,"{ beds :3, beds_max :null, beds_min :null, baths_min :null, baths_max :null, baths_consolidated : 2 , garage :null, garage_min :null, garage_max :null, sqft :null, sqft_max :null, sqft_min :null, name :null, sub_type : condo , type : apartment , year_built :null"
4449,9119274489,2961998042,[{type:home,41.934895,-87.695526,2932 N Washtenaw Ave Apt 2,1750,null,null,https://www.realtor.com/realestateandhomes-detail/2932-N-Washtenaw-Ave-Apt-2_Chicago_IL_60618_M91192-74489,"{ beds :2, beds_max :null, beds_min :null, baths_min :null, baths_max :null, baths_consolidated : 1 , garage :null, garage_min :null, garage_max :null, sqft :1000, sqft_max :null, sqft_min :null, name :null, sub_type : condo , type : apartment , year_built :null"
4450,9358282552,2962277017,[{type:home,41.939438,-87.714706,3454 W Belmont Ave Unit 2,2300,null,null,https://www.realtor.com/realestateandhomes-detail/3454-W-Belmont-Ave-2_Chicago_IL_60618_M93582-82552,"{ beds :2, beds_max :null, beds_min :null, baths_min :null, baths_max :null, baths_consolidated : 1 , garage :null, garage_min :null, garage_max :null, sqft :null, sqft_max :null, sqft_min :null, name :null, sub_type : condo , type : apartment , year_built :null"
4451,9937994534,2948938606,[{type:home,41.999695,-87.666458,6453 N Newgard Ave Unit 6453-3,3000,null,null,https://www.realtor.com/realestateandhomes-detail/6453-N-Newgard-Ave-6453-3_Chicago_IL_60626_M99379-94534,"{ beds :3, beds_max :null, beds_min :null, baths_min :null, baths_max :null, baths_consolidated : 2 , garage :null, garage_min :null, garage_max :null, sqft :null, sqft_max :null, sqft_min :null, name :null, sub_type : condo , type : apartment , year_built :null"
4452,9953671610,2960947247,[{type:home,41.858074,-87.710564,328 W Dickens Ave,2825,null,null,https://www.realtor.com/realestateandhomes-detail/328-W-Dickens-Ave_Chicago_IL_60614_M99536-71610,"{ beds :2, beds_max :null, beds_min :null, baths_min :null, baths_max :null, baths_consolidated : 1 , garage :null, garage_min :null, garage_max :null, sqft :850, sqft_max :null, sqft_min :null, name :null, sub_type : condo , type : apartment , year_built :null"
4453,9945900311,2961419192,[{type:home,41.858074,-87.710564,1630 S Homan Ave Apt 3,1600,null,null,https://www.realtor.com/realestateandhomes-detail/1630-S-Homan-Ave-Apt-3_Chicago_IL_60623_M99459-00311,"{ beds :3, beds_max :null, beds_min :null, baths_min :null, baths_max :null, baths_consolidated : 2 , garage :null, garage_min :null, garage_max :null, sqft :1100, sqft_max :null, sqft_min :null, name :null, sub_type : condo , type : apartment , year_built :null"
4454,9941378053,2961997175,[{type:home,42.012249,-87.66478,1331 W Touhy Ave Unit 3A,1590,null,null,https://www.realtor.com/realestateandhomes-detail/1331-W-Touhy-Ave-3A_Chicago_IL_60626_M99413-78053,"{ beds :2, beds_max :null, beds_min :null, baths_min :null, baths_max :null, baths_consolidated : 1 , garage :null, garage_min :null, garage_max :null, sqft :null, sqft_max :null, sqft_min :null, name :null, sub_type : condo , type : apartment , year_built :null"
